ICD9dx,CCS Category,CCS Category Description
'71857','204  ','Ot joint dx'
'71858','204  ','Ot joint dx'
'71859','204  ','Ot joint dx'
'71860','204  ','Ot joint dx'
'71865','204  ','Ot joint dx'
'71870','204  ','Ot joint dx'
'71871','204  ','Ot joint dx'
'71872','204  ','Ot joint dx'
'71873','204  ','Ot joint dx'
'71874','204  ','Ot joint dx'
'71875','204  ','Ot joint dx'
'71876','204  ','Ot joint dx'
'71877','204  ','Ot joint dx'
'71878','204  ','Ot joint dx'
'71879','204  ','Ot joint dx'
'71880','204  ','Ot joint dx'
'71881','204  ','Ot joint dx'
'71882','204  ','Ot joint dx'
'71883','204  ','Ot joint dx'
'71884','204  ','Ot joint dx'
'71885','204  ','Ot joint dx'
'71886','204  ','Ot joint dx'
'71887','204  ','Ot joint dx'
'71888','204  ','Ot joint dx'
'71889','204  ','Ot joint dx'
'71890','204  ','Ot joint dx'
'71891','204  ','Ot joint dx'
'71892','204  ','Ot joint dx'
'71893','204  ','Ot joint dx'
'71894','204  ','Ot joint dx'
'71895','204  ','Ot joint dx'
'71897','204  ','Ot joint dx'
'71898','204  ','Ot joint dx'
'71899','204  ','Ot joint dx'
'71900','204  ','Ot joint dx'
'71901','204  ','Ot joint dx'
'71902','204  ','Ot joint dx'
'71903','204  ','Ot joint dx'
'71904','204  ','Ot joint dx'
'71905','204  ','Ot joint dx'
'71906','204  ','Ot joint dx'
'71907','204  ','Ot joint dx'
'71908','204  ','Ot joint dx'
'71909','204  ','Ot joint dx'
'71910','204  ','Ot joint dx'
'71911','204  ','Ot joint dx'
'71912','204  ','Ot joint dx'
'71913','204  ','Ot joint dx'
'71914','204  ','Ot joint dx'
'71915','204  ','Ot joint dx'
'71916','204  ','Ot joint dx'
'71917','204  ','Ot joint dx'
'71918','204  ','Ot joint dx'
'71919','204  ','Ot joint dx'
'71920','204  ','Ot joint dx'
'71921','204  ','Ot joint dx'
'71922','204  ','Ot joint dx'
'71923','204  ','Ot joint dx'
'71924','204  ','Ot joint dx'
'71925','204  ','Ot joint dx'
'71926','204  ','Ot joint dx'
'71927','204  ','Ot joint dx'
'71928','204  ','Ot joint dx'
